customerid,personid,storeid,territoryid,rowguid,modifieddate
15600,12577,None,9,0a8b1cbf-b389-4df3-a636-8d2774e4059c,2014-09-12 11:15:07.263000
15601,17319,None,9,842c26ff-f776-40c5-b9ee-de5b99eed808,2014-09-12 11:15:07.263000
15602,11903,None,9,b61829b3-c205-482c-9340-b72c5614fd49,2014-09-12 11:15:07.263000
15603,19207,None,9,6ecc3f30-d7ae-480c-afdc-f19c4103263d,2014-09-12 11:15:07.263000
15604,4084,None,9,a6c9f34a-53ce-4bcf-afda-eb9f1aa1568d,2014-09-12 11:15:07.263000
15605,17305,None,9,616ea9d0-0e88-4548-8cde-c1c854a02fab,2014-09-12 11:15:07.263000
15606,3866,None,9,704dc224-8a19-43d3-9f5c-9c1a2070dde5,2014-09-12 11:15:07.263000
15607,15601,None,9,512c4534-8add-42b0-9fa8-56a9cbf4d584,2014-09-12 11:15:07.263000
15608,8397,None,8,586c6f6c-da9d-42f8-84af-28983bfed85c,2014-09-12 11:15:07.263000
15609,5141,None,7,9b5afa47-0d14-4566-8258-5ad3bcf58af5,2014-09-12 11:15:07.263000
15610,3528,None,10,801cdc4c-ea08-473c-9a1d-6474fa4ce1a2,2014-09-12 11:15:07.263000
15611,10141,None,7,75d9bf00-1ef6-4ac3-964d-07f43e07ed22,2014-09-12 11:15:07.263000
15612,9043,None,10,6022783f-04c7-4d44-b8c1-e5f5d78a4cec,2014-09-12 11:15:07.263000
15613,14055,None,7,ddf1db1f-2aa0-4a70-8355-66af3fecac15,2014-09-12 11:15:07.263000
15614,7829,None,10,33c8e382-7f20-427b-95f0-ea6635e67ca6,2014-09-12 11:15:07.263000
15615,18695,None,10,768e0b45-2ea0-495a-9f6f-c3997b1b2705,2014-09-12 11:15:07.263000
15616,6239,None,7,c6b16359-57c2-4fce-82e1-bb88c76caf76,2014-09-12 11:15:07.263000
15617,12232,None,7,a29a15f9-dcad-4d72-bc60-e3de722a1a06,2014-09-12 11:15:07.263000
15618,5883,None,8,d4cb15c7-10b3-4582-8790-31d8776d887d,2014-09-12 11:15:07.263000
15619,7930,None,10,844bc821-215c-4b2d-bef4-e9ee8efb2c57,2014-09-12 11:15:07.263000
15620,7493,None,10,3fbcb8b1-2807-4b34-8007-ef4addee37c6,2014-09-12 11:15:07.263000
15621,12059,None,10,686def6d-d145-4e09-8fa4-1c234bbc6281,2014-09-12 11:15:07.263000
15622,1735,None,8,b1c7c2c2-c931-4aa4-8728-8b2aba10f121,2014-09-12 11:15:07.263000
15623,16138,None,7,1b0ee695-2eff-4441-9f0d-b29f6f2651e8,2014-09-12 11:15:07.263000
15624,6830,None,7,4d94a4e6-8f54-45ff-9d8b-4ad9690aa710,2014-09-12 11:15:07.263000
15625,14610,None,8,b9109ed5-e542-4ace-a620-ae13bdc661fe,2014-09-12 11:15:07.263000
15626,5019,None,8,8655b860-ffd5-4f91-97b7-62cd3d29e803,2014-09-12 11:15:07.263000
15627,15803,None,8,7a6adceb-0cfe-4537-a75a-81cf38697428,2014-09-12 11:15:07.263000
15628,19232,None,8,084464bf-2bb6-41da-ac8c-7070b2bef27e,2014-09-12 11:15:07.263000
15629,18780,None,8,d7fe6cce-018c-4a53-953e-bbe6548a7c22,2014-09-12 11:15:07.263000
15630,16589,None,10,fb3b7ec0-a634-49d1-a3b0-d51e806b7558,2014-09-12 11:15:07.263000
15631,12651,None,10,76393ef8-6dbb-4a2c-b882-0f0fe1fdd266,2014-09-12 11:15:07.263000
15632,16616,None,10,4e6577a3-9e61-4653-a28b-0eef488cbaca,2014-09-12 11:15:07.263000
15633,8956,None,8,5d2ed6b9-6ebf-4507-aa46-5309d2b9e6d5,2014-09-12 11:15:07.263000
15634,14220,None,10,883dd252-937e-408e-9ed8-499dfebb5e16,2014-09-12 11:15:07.263000
15635,14364,None,10,d75f9019-5bee-46ac-8600-b694b614766e,2014-09-12 11:15:07.263000
15636,18035,None,8,0a502967-33ce-476b-9d6b-461e640daeb0,2014-09-12 11:15:07.263000
15637,16856,None,7,3780f2b2-e68a-4fbb-b7ff-04ddb974794d,2014-09-12 11:15:07.263000
15638,4982,None,10,2c69247f-38d1-4ab6-a8a5-84d05a999ca2,2014-09-12 11:15:07.263000
15639,8122,None,9,5a25bb32-23d2-4208-b6c5-daf8bece6ffe,2014-09-12 11:15:07.263000
15640,19011,None,9,9b3e2be3-d0d7-4a06-a49e-48ac1a8652f9,2014-09-12 11:15:07.263000
15641,3870,None,9,909dd63d-5d47-4604-9755-16c8bda0af76,2014-09-12 11:15:07.263000
15642,4856,None,9,b5ce73c1-452e-4f4a-94f2-9387a87f3fbc,2014-09-12 11:15:07.263000
15643,12776,None,9,fca8d947-c57c-4d0e-bab0-7021386f07d4,2014-09-12 11:15:07.263000
15644,9859,None,9,1f9b27e0-ef50-4fb8-8fcf-fc789baa384d,2014-09-12 11:15:07.263000
15645,13642,None,9,6e67b740-fd05-4ab2-b3fa-7b4e50bd1987,2014-09-12 11:15:07.263000
15646,19528,None,9,fca988cd-9b70-49ae-99f3-8b7ffc60bdaf,2014-09-12 11:15:07.263000
15647,12192,None,9,24bb115d-3a5b-4be7-ad20-83b9a3c5a948,2014-09-12 11:15:07.263000
15648,8162,None,9,a42cc7e6-0820-4666-91d6-894dc422dc88,2014-09-12 11:15:07.263000
15649,14053,None,8,86caf942-3b5c-447e-891d-7d10ef6625f7,2014-09-12 11:15:07.263000
15650,5562,None,7,86ba2256-774b-409e-8661-d0010a717aeb,2014-09-12 11:15:07.263000
15651,7267,None,7,38337af8-d45d-431e-b20c-145cd59f7516,2014-09-12 11:15:07.263000
15652,11536,None,10,761b4bae-d2aa-4476-8c12-2da79b5cb5a8,2014-09-12 11:15:07.263000
15653,11842,None,10,cbfeb9eb-1e5e-4a60-8de5-182c51d10b85,2014-09-12 11:15:07.263000
15654,7935,None,7,6acf646b-ba58-49b2-98a4-3c8315dad4ad,2014-09-12 11:15:07.263000
15655,9774,None,8,ab54a843-a1cb-49cf-9c93-d71e234ffc44,2014-09-12 11:15:07.263000
15656,5634,None,8,d7ede115-9714-4359-9f69-1e0cf247f54b,2014-09-12 11:15:07.263000
15657,13857,None,10,10bd1c01-7ce2-4bf8-a13e-372067fe3330,2014-09-12 11:15:07.263000
15658,19381,None,7,8cfb50f2-2cfe-42e5-bf0e-df169225360b,2014-09-12 11:15:07.263000
15659,8933,None,8,724b7298-db5f-42bd-a4ea-118d4cef351f,2014-09-12 11:15:07.263000
15660,20544,None,10,bf177102-b62c-4776-ba7e-66bacf98f557,2014-09-12 11:15:07.263000
15661,18450,None,10,b8dfedcf-956f-40fa-99d7-5116ec383e23,2014-09-12 11:15:07.263000
15662,19099,None,10,089b7e83-5073-46b4-a75a-741338388f98,2014-09-12 11:15:07.263000
15663,5729,None,7,d2ca2d70-94ed-4979-82d0-0d54a9c2b236,2014-09-12 11:15:07.263000
15664,15103,None,8,ceaf20c0-d7fd-437c-b50a-063b8dbacc5e,2014-09-12 11:15:07.263000
15665,10686,None,7,b90b97f4-fcea-42c0-b5c6-6691aaa1aa49,2014-09-12 11:15:07.263000
15666,4802,None,7,0ba7b03d-b97e-42a9-b0c9-6f4e5a17d163,2014-09-12 11:15:07.263000
15667,14732,None,8,e4fa96e7-02c4-428d-96fe-a7ae1abf2a30,2014-09-12 11:15:07.263000
15668,2993,None,10,118fd6b7-4553-464a-ac62-eeddfa052675,2014-09-12 11:15:07.263000
15669,3464,None,10,124e97cd-a816-4fda-be12-6ba0fdbd3751,2014-09-12 11:15:07.263000
15670,7850,None,7,8e9f2ede-b8ac-426d-a4d8-d8019a53186a,2014-09-12 11:15:07.263000
15671,14452,None,10,3590ca3c-fd90-416c-abb0-90e8884c8433,2014-09-12 11:15:07.263000
15672,2956,None,8,75722174-d64a-47bc-8052-7ec20d1f9ec8,2014-09-12 11:15:07.263000
15673,12456,None,7,6dcd68ce-b789-4c3a-8ed4-0f6ce93586f8,2014-09-12 11:15:07.263000
15674,4224,None,8,878d7fa6-4de5-4230-9257-2cfdbfdf4d50,2014-09-12 11:15:07.263000
15675,10326,None,8,a389bb17-bde9-4844-97c1-b15b9cccdcac,2014-09-12 11:15:07.263000
15676,18188,None,7,b2a27eb1-38db-4d65-bd44-8a71e6012fdc,2014-09-12 11:15:07.263000
15677,20124,None,7,cbe08da2-ae75-42c9-8a0a-c44793585064,2014-09-12 11:15:07.263000
15678,17754,None,7,bd43386d-d31e-41b5-918d-fa3a7be507f5,2014-09-12 11:15:07.263000
15679,6149,None,7,2c55b7b8-1884-4a41-ad55-1c8917572783,2014-09-12 11:15:07.263000
15680,8606,None,8,a81b0e35-1304-4932-bd11-4f1d8d7fb45f,2014-09-12 11:15:07.263000
15681,19573,None,10,f0345491-4eaa-4026-9f19-12448f7a37cf,2014-09-12 11:15:07.263000
15682,15271,None,8,c453a451-25ab-40e9-8c16-a4f935cb07d9,2014-09-12 11:15:07.263000
15683,5744,None,8,a2bd8b02-7913-41fe-a679-88da55ea304d,2014-09-12 11:15:07.263000
15684,6826,None,8,be9d28c1-1817-4f0f-8fe8-432a90b10925,2014-09-12 11:15:07.263000
15685,13741,None,8,6eb2fd05-e8ed-486e-96c8-b9ef6d34cf1d,2014-09-12 11:15:07.263000
15686,11718,None,10,3d8b2734-ac62-44ff-aab5-5eb98f128d34,2014-09-12 11:15:07.263000
15687,10255,None,7,365ea976-cbc6-4a27-8e6c-1910171f7ad1,2014-09-12 11:15:07.263000
15688,14491,None,7,dcb8f337-075a-4d2f-8b0a-a18b833f719a,2014-09-12 11:15:07.263000
15689,17586,None,8,543775a1-253e-49f7-a7f7-41fc0fc258a4,2014-09-12 11:15:07.263000
15690,4119,None,10,3ab607df-a601-4434-9c0f-d05c845e0dbe,2014-09-12 11:15:07.263000
15691,13324,None,10,5ffd7ac2-81dd-4ab4-bac0-42bd336f38e6,2014-09-12 11:15:07.263000
15692,18003,None,10,76b8786b-6fd9-4efd-93ad-fd2a93dd485e,2014-09-12 11:15:07.263000
15693,7470,None,8,aef19c04-f78f-4a89-afb7-f761b9ed3351,2014-09-12 11:15:07.263000
15694,3144,None,10,a598f358-8a82-47eb-9a76-ee0ceee30e1a,2014-09-12 11:15:07.263000
15695,10842,None,10,c5ec9bf1-d334-400b-88cc-d2cbe6d537c1,2014-09-12 11:15:07.263000
15696,8385,None,7,894227b1-61f5-4b46-8bb2-200840934679,2014-09-12 11:15:07.263000
15697,20339,None,8,e1be1dcc-4c6e-49d6-b8b6-27352f80f7f2,2014-09-12 11:15:07.263000
15698,17742,None,8,c798d4f4-ae93-443d-b386-12fc17d04227,2014-09-12 11:15:07.263000
15699,14475,None,10,384e12a1-2125-46e6-9f8e-4b0d3d03372d,2014-09-12 11:15:07.263000
15700,5485,None,7,1b4f7ec6-50cf-4106-8b7c-272aad9a972e,2014-09-12 11:15:07.263000
15701,15295,None,10,e31ca3c7-981a-423f-a897-7c8507ca1b71,2014-09-12 11:15:07.263000
15702,3286,None,10,30f0a39b-aff0-4dc5-89f9-77b271e4e546,2014-09-12 11:15:07.263000
15703,16661,None,8,0d078db3-7841-4396-9b60-0e1b35078d37,2014-09-12 11:15:07.263000
15704,20413,None,8,d42ea6ca-af4d-4bd4-a735-449eaf0b68b1,2014-09-12 11:15:07.263000
15705,5852,None,8,9e882b0c-a24f-431f-a6ee-24ee57f7a511,2014-09-12 11:15:07.263000
15706,16191,None,7,46755673-6bae-47ab-8296-5955acebb243,2014-09-12 11:15:07.263000
15707,13754,None,8,26ab3870-7c0f-483d-be8e-bb2da050c0ca,2014-09-12 11:15:07.263000
15708,4444,None,8,7c5b841d-75ce-465d-a0d7-2baf038fc26d,2014-09-12 11:15:07.263000
15709,18941,None,7,102cefab-f243-4a31-ba4f-e7ff26a3c0c1,2014-09-12 11:15:07.263000
15710,18854,None,7,d4f86c81-7a64-48d4-aa21-dc61fedf1c37,2014-09-12 11:15:07.263000
15711,18063,None,10,612171e8-0390-49d9-9488-576c1e11a3a1,2014-09-12 11:15:07.263000
15712,18881,None,10,1fe2e594-cfad-4e19-af0d-0e5115bee6ec,2014-09-12 11:15:07.263000
15713,12308,None,10,9ee6f92d-557d-4a99-acba-f16e7c2e4fe8,2014-09-12 11:15:07.263000
15714,17285,None,7,160cad36-b2c2-41bf-aefb-7d01f2a7f91e,2014-09-12 11:15:07.263000
15715,10261,None,9,8eb5a9eb-a436-42ff-9987-093acdf33451,2014-09-12 11:15:07.263000
15716,11107,None,9,63f6b6c9-29ce-45ae-8175-a34552959a26,2014-09-12 11:15:07.263000
15717,7100,None,9,e0b2c6b1-2c8d-429f-9024-5847395392f6,2014-09-12 11:15:07.263000
15718,2635,None,9,5e715519-c5fc-4334-a1ca-837bd652fc32,2014-09-12 11:15:07.263000
15719,12391,None,9,75cfd6a0-a08c-4e51-b7ec-328efca5f9b1,2014-09-12 11:15:07.263000
15720,7083,None,9,c6b547a3-9968-41a9-b8ce-2611335dd6c8,2014-09-12 11:15:07.263000
15721,4862,None,9,70f30a41-3de9-4ee8-b806-77780c8bd088,2014-09-12 11:15:07.263000
15722,7655,None,9,8812c982-b8c1-4859-9f8d-c59a7bf851f2,2014-09-12 11:15:07.263000
15723,4579,None,9,593584e0-633e-47ba-9243-d6b3acadfc54,2014-09-12 11:15:07.263000
15724,13278,None,9,c4ab4915-7f8e-4926-9c4c-39a6b05ad5d0,2014-09-12 11:15:07.263000
15725,12814,None,9,1ca3550b-c156-4f05-a712-275ed72fcf04,2014-09-12 11:15:07.263000
15726,7809,None,9,f614b9a2-1cf4-4a07-bc2d-1cdb4c6dc64f,2014-09-12 11:15:07.263000
15727,11984,None,9,9dc4aa8d-aa6b-4e7e-aaa7-c3446e4f1b29,2014-09-12 11:15:07.263000
15728,20500,None,9,041b1940-c897-4865-9425-dfa8b6bd4077,2014-09-12 11:15:07.263000
15729,3373,None,9,796882f9-72e3-465e-bc15-5240c10b9548,2014-09-12 11:15:07.263000
15730,19204,None,9,a5f8c02e-0913-4be4-8693-6c71b567febc,2014-09-12 11:15:07.263000
15731,20470,None,9,d6411dfd-e06a-472f-86f4-20fc85930a1b,2014-09-12 11:15:07.263000
15732,17668,None,9,7e517c2e-fe97-4533-b699-eb5cc47248a4,2014-09-12 11:15:07.263000
15733,18536,None,9,99d611e5-8e57-4c4c-8065-3150a71af67c,2014-09-12 11:15:07.263000
15734,19786,None,9,cbdc77db-0862-46f5-8245-c8a3ce2fd8a7,2014-09-12 11:15:07.263000
15735,14122,None,9,79c2d53c-61dd-4b83-ae01-8668fe2d9ea6,2014-09-12 11:15:07.263000
15736,8693,None,4,53948007-00d7-4848-85df-82b9a58c0b85,2014-09-12 11:15:07.263000
15737,18310,None,1,58d7d0b1-32ad-478a-a262-fb42a3758a24,2014-09-12 11:15:07.263000
15738,12040,None,4,3aa96a47-a98d-4447-a3ba-977591cf8023,2014-09-12 11:15:07.263000
15739,15391,None,4,5028b0e1-c495-43f2-a41c-2ff433836a3f,2014-09-12 11:15:07.263000
15740,17048,None,1,3429fd17-0e84-47f6-91c2-8a3b21bd2eda,2014-09-12 11:15:07.263000
15741,10910,None,4,88f31cf1-87af-47cd-8a43-ab698048618d,2014-09-12 11:15:07.263000
15742,11320,None,4,0c7fce3c-0eae-487e-9037-7fb0f27bf148,2014-09-12 11:15:07.263000
15743,11012,None,1,9e4ca224-9608-4ee6-85b9-aa291fd4de0e,2014-09-12 11:15:07.263000
15744,8274,None,1,a5ac633e-793e-43df-9d77-94b50e9a7700,2014-09-12 11:15:07.263000
15745,13359,None,1,91ee66ed-f326-4c3a-915b-8499641d777b,2014-09-12 11:15:07.263000
15746,12262,None,1,7eda3fdb-3f26-40a5-81c5-1deeb37d824e,2014-09-12 11:15:07.263000
15747,16371,None,4,4159cbb2-1f1f-46cf-9365-e41987a95a18,2014-09-12 11:15:07.263000
15748,6243,None,6,ba46796c-45e5-40cd-bf82-15fb02e4b50f,2014-09-12 11:15:07.263000
15749,11302,None,1,60f4b452-47ed-4366-b870-31fca327009d,2014-09-12 11:15:07.263000
15750,3244,None,4,cb1a0e9b-4bd5-4b93-bed4-242cbda8fcf2,2014-09-12 11:15:07.263000
15751,2510,None,9,e1f2349c-3a6b-4d42-bc27-f3eeaa6a440b,2014-09-12 11:15:07.263000
15752,16030,None,9,c033992d-ad1c-4f31-a174-d256d0d09bea,2014-09-12 11:15:07.263000
15753,17698,None,9,376cdd65-eab4-4511-b79c-2c950ed04bed,2014-09-12 11:15:07.263000
15754,20766,None,9,c5c969a0-61f6-42bc-9a20-663e967b2307,2014-09-12 11:15:07.263000
15755,5600,None,9,e33f3f53-abae-46bc-8f53-109aef7d1dc9,2014-09-12 11:15:07.263000
15756,10547,None,9,c6524163-74c4-432b-8177-b29faa423a0b,2014-09-12 11:15:07.263000
15757,13221,None,9,13690d15-ff4a-4979-ba4f-f6eb3b454fb6,2014-09-12 11:15:07.263000
15758,10530,None,9,1601b5f3-5e3e-454d-9727-11bd74a1cca8,2014-09-12 11:15:07.263000
15759,7937,None,1,afb2a69f-ede7-44d3-b5b7-918f494b7971,2014-09-12 11:15:07.263000
15760,14030,None,6,28361254-db68-42e2-ab52-2f2b36e2d3d8,2014-09-12 11:15:07.263000
15761,4397,None,6,ccb57f6f-0fb0-415d-a794-3d28f84f1d9f,2014-09-12 11:15:07.263000
15762,15838,None,6,d731f36b-2677-4145-93a6-a4e5d773eeb9,2014-09-12 11:15:07.263000
15763,4416,None,1,6f99df49-8e4c-4db9-83de-8beefd211dcb,2014-09-12 11:15:07.263000
15764,13053,None,9,1ea36c30-9d1e-485c-ae46-a80020072ee0,2014-09-12 11:15:07.263000
15765,9170,None,9,49ace8ee-0bfd-4cb0-941b-594528d0f4e0,2014-09-12 11:15:07.263000
15766,8810,None,9,82e7d2e9-40f9-44fe-ba93-4ac1f7cc6496,2014-09-12 11:15:07.263000
15767,20199,None,9,b38caa3c-7a7a-4073-97be-56f9a9ee81a8,2014-09-12 11:15:07.263000
15768,11844,None,4,7e9b9b7e-74f6-4e4c-978c-fe0ac5e4b5d9,2014-09-12 11:15:07.263000
15769,7545,None,4,cef09717-1452-495b-a16b-d834c240e191,2014-09-12 11:15:07.263000
15770,14164,None,4,d288e781-7c3d-4caf-bcb2-3464b64c81c3,2014-09-12 11:15:07.263000
15771,3292,None,1,37847d64-c484-4709-8cd1-35458362630d,2014-09-12 11:15:07.263000
15772,18113,None,4,e499b411-5fc4-40bc-9c1f-b7a330ce41b9,2014-09-12 11:15:07.263000
15773,6954,None,4,15881d12-656b-4246-b227-3d25b0c700c4,2014-09-12 11:15:07.263000
15774,2717,None,1,87783e60-72f0-4fcf-997b-9448dad57336,2014-09-12 11:15:07.263000
15775,8647,None,1,89a7215a-9bda-452c-8ef4-cf4b0323666d,2014-09-12 11:15:07.263000
15776,16539,None,4,f4618fe0-e333-4104-be68-d8d9ec556ab3,2014-09-12 11:15:07.263000
15777,11707,None,1,051d9c10-2c7a-4620-894d-1e204fc88032,2014-09-12 11:15:07.263000
15778,17298,None,1,70ecb4c3-f898-4591-bb00-d47c2e54e2e0,2014-09-12 11:15:07.263000
15779,5359,None,1,4fb77d5f-f1a5-45d8-afb1-22917df6db9d,2014-09-12 11:15:07.263000
15780,5855,None,4,4473c2b4-4cdf-47cb-8f53-a128ed6fd78a,2014-09-12 11:15:07.263000
15781,4214,None,4,1585d687-5054-4c9f-aae1-30d05e727f58,2014-09-12 11:15:07.263000
15782,9428,None,1,7e20c1bb-a341-42e2-9313-bb516457778a,2014-09-12 11:15:07.263000
15783,6675,None,9,adcc998d-3d62-451d-b756-1d598b2c15bc,2014-09-12 11:15:07.263000
15784,9911,None,9,fbbf49df-ac6f-4092-b55d-f7a724152c36,2014-09-12 11:15:07.263000
15785,13118,None,9,4a786fd8-82ba-4cbd-821f-6e4966d206a4,2014-09-12 11:15:07.263000
15786,11553,None,9,0aab6ad8-5a1d-48b7-8316-ea447ddf200b,2014-09-12 11:15:07.263000
15787,19754,None,9,9f80d6e9-dbe2-40da-a0ab-5f5eea8d00bc,2014-09-12 11:15:07.263000
15788,11538,None,9,0b4938c9-dd0c-4d39-9b18-5ee78d842a78,2014-09-12 11:15:07.263000
15789,1736,None,9,68d6830b-b418-4865-a20f-e71eb2e43c8a,2014-09-12 11:15:07.263000
15790,13449,None,9,f1b29341-a70f-40fb-9b13-fcb04a39a6a5,2014-09-12 11:15:07.263000
15791,19148,None,9,cc7a33eb-4c9f-4f45-9be3-964ce8f74130,2014-09-12 11:15:07.263000
15792,6466,None,9,f7060610-0222-4303-81fd-683b38da2dfe,2014-09-12 11:15:07.263000
15793,15009,None,9,d7382842-4af6-40b7-84c8-b6e2737a3850,2014-09-12 11:15:07.263000
15794,8478,None,9,afae6473-153c-4fef-85ce-ec124ab77728,2014-09-12 11:15:07.263000
15795,15497,None,9,320afe27-fd1e-4490-8a4a-22e308f8ab9c,2014-09-12 11:15:07.263000
15796,13665,None,9,f0314a17-9729-4668-a6f6-8028800f2cfe,2014-09-12 11:15:07.263000
15797,14773,None,9,d2079a5e-923c-4d21-b306-892a8c14795c,2014-09-12 11:15:07.263000
15798,14366,None,9,a0c147ea-51d3-41db-866d-030aacd7bc67,2014-09-12 11:15:07.263000
15799,11809,None,9,e0c704cc-10df-4a5d-9138-eb019cc08198,2014-09-12 11:15:07.263000
15800,6638,None,9,183e2784-9097-48a8-be53-2bc4b7944551,2014-09-12 11:15:07.263000
15801,16327,None,9,fe67a1d8-453b-41af-b85d-f64deaa73a82,2014-09-12 11:15:07.263000
15802,8575,None,9,bdc04461-818d-4836-9504-98c6dd76ea8e,2014-09-12 11:15:07.263000
15803,20311,None,9,c8c0d2e1-35e6-4353-afaf-8d133e9d75bf,2014-09-12 11:15:07.263000
15804,17535,None,9,ce3a9646-b9d7-4572-a8d7-d7cee59b6bb1,2014-09-12 11:15:07.263000
15805,12162,None,9,52d86b05-50b1-466b-98a9-56e130efb2d8,2014-09-12 11:15:07.263000
15806,4955,None,9,3da66aff-0556-4314-9d89-9c7c0eb7184d,2014-09-12 11:15:07.263000
15807,1737,None,9,010fa370-1871-407a-9b07-a8b9b8f509c5,2014-09-12 11:15:07.263000
15808,18761,None,9,f60ce3d6-4caf-4477-8f85-a8cdcc711c88,2014-09-12 11:15:07.263000
15809,6233,None,9,0e2284a3-cd21-477d-9c94-75258aca7acf,2014-09-12 11:15:07.263000
15810,7637,None,9,e9994e13-2eca-45ba-a4fe-1ae8f273328f,2014-09-12 11:15:07.263000
15811,1738,None,9,93d04cc7-7b8a-4b69-bbfd-eed8cfbfd292,2014-09-12 11:15:07.263000
15812,17382,None,9,a63fef06-f371-4240-b4d5-90c51225c844,2014-09-12 11:15:07.263000
15813,13354,None,4,41183f4b-4838-4883-ac81-4d1b5de462f2,2014-09-12 11:15:07.263000
15814,19556,None,4,56cc4104-2870-4ec2-8c20-fe4d214764de,2014-09-12 11:15:07.263000
15815,19946,None,6,493644e2-d33b-480d-aa05-e05f87d3a3dd,2014-09-12 11:15:07.263000
15816,11800,None,6,b56ee32a-d24e-460d-a119-1131be1755d3,2014-09-12 11:15:07.263000
15817,20323,None,1,21a685f8-ea64-4b8a-9101-4d1b6c7d1505,2014-09-12 11:15:07.263000
15818,4064,None,1,ff24caa6-83f9-4320-b17d-f7c2c4753b3e,2014-09-12 11:15:07.263000
15819,8501,None,1,4da711fb-2188-4494-b7fc-5bc2d7f2e8d2,2014-09-12 11:15:07.263000
15820,14913,None,1,d9f0f280-17fc-4de9-a988-2c4695ac4f35,2014-09-12 11:15:07.263000
15821,17755,None,4,2ada11bd-d90d-4fd7-a3bb-3b34212c1d76,2014-09-12 11:15:07.263000
15822,8617,None,9,0ddc3c25-c52a-4b2d-8e7a-3ad12f83f77b,2014-09-12 11:15:07.263000
15823,8507,None,9,daaacfb6-74b5-4588-94d2-0fe093218f09,2014-09-12 11:15:07.263000
15824,19825,None,4,2ea90330-7974-48f2-97af-65ac9c25675d,2014-09-12 11:15:07.263000
15825,7673,None,1,2fcec7da-d801-4e6a-8d75-8567d9243e9e,2014-09-12 11:15:07.263000
15826,7578,None,6,b697b84f-035b-416c-b933-0a802ef552de,2014-09-12 11:15:07.263000
15827,8636,None,1,39c6a70d-b48c-4696-b860-437443beec03,2014-09-12 11:15:07.263000
15828,13224,None,9,80e5fffd-abe2-4598-96ed-b3f2be97c191,2014-09-12 11:15:07.263000
15829,13723,None,9,c74c672a-10f8-47fc-ad2f-cd13b9da28fc,2014-09-12 11:15:07.263000
15830,17363,None,9,41f508e3-9ab0-4a9b-90aa-72728858c164,2014-09-12 11:15:07.263000
15831,12714,None,9,1abc242c-6780-4bab-9f57-d47917e37ad8,2014-09-12 11:15:07.263000
15832,15945,None,9,19528725-0dbc-4005-9038-222389687368,2014-09-12 11:15:07.263000
15833,10370,None,9,d5a323a9-695b-48d3-b4e6-ce60a296d426,2014-09-12 11:15:07.263000
15834,10216,None,1,dc62d1ab-bd92-4355-998a-f893b7604472,2014-09-12 11:15:07.263000
15835,4600,None,4,bc9b1cdb-b39b-48c2-8be2-2a2dbf963331,2014-09-12 11:15:07.263000
15836,4929,None,4,1c3d8057-3299-45c3-b8d2-ad86732e974e,2014-09-12 11:15:07.263000
15837,11030,None,1,8ee798f7-1b90-44e7-93c1-7cad83a40d46,2014-09-12 11:15:07.263000
15838,11048,None,4,2fa308fe-b5ff-45b7-9115-f0d0b1ca3970,2014-09-12 11:15:07.263000
15839,18409,None,4,93ccfad3-7e16-4a7b-98e0-75dc2c735db3,2014-09-12 11:15:07.263000
15840,2709,None,1,5acbceb1-d98d-44c1-bea8-7ddfa8135b71,2014-09-12 11:15:07.263000
15841,5479,None,4,d62fd5df-6897-4df4-8cf2-94bcbace856f,2014-09-12 11:15:07.263000
15842,3399,None,1,49b23eb5-188c-41e9-acca-96a3a3633f7c,2014-09-12 11:15:07.263000
15843,17158,None,1,e6449e72-d8e6-48ef-bb7c-a3bbe358aa55,2014-09-12 11:15:07.263000
15844,11673,None,4,79c32a82-d371-4c70-a9eb-e323288c34eb,2014-09-12 11:15:07.263000
15845,9964,None,1,99269548-2b18-41d0-8a12-2e311f55e3f0,2014-09-12 11:15:07.263000
15846,13340,None,6,737c8baa-14b7-476c-9b83-039cd2635b7b,2014-09-12 11:15:07.263000
15847,4248,None,6,a077ede9-4f3d-4b5a-9fce-80593de07833,2014-09-12 11:15:07.263000
15848,10446,None,1,70e1b21c-0c8b-45e0-8943-e7ff09160d90,2014-09-12 11:15:07.263000
15849,20050,None,1,81d14ff1-87de-4a9d-a96c-b433ac3784ca,2014-09-12 11:15:07.263000
15850,19739,None,6,e046866c-b840-4af1-bd70-4da5d245c32e,2014-09-12 11:15:07.263000
15851,12144,None,1,471743d6-8215-48c8-8f19-fc70d082c7d8,2014-09-12 11:15:07.263000
15852,13371,None,4,cc461a80-c547-4936-bfaa-cfcacd9c1edb,2014-09-12 11:15:07.263000
15853,11388,None,4,9090249e-90a2-4de4-b9ce-c51984eec8b5,2014-09-12 11:15:07.263000
15854,7266,None,4,cc40827c-fe4a-46e2-ae75-201d9bd55ad1,2014-09-12 11:15:07.263000
15855,17290,None,4,459349b5-26f6-4e33-8ad6-6f7c0a126dbf,2014-09-12 11:15:07.263000
15856,5452,None,6,ff1ad2b9-94a2-4e18-8746-ab64b3e48047,2014-09-12 11:15:07.263000
15857,11232,None,4,f68e0eae-95d3-4807-a126-9bace8c7a11c,2014-09-12 11:15:07.263000
15858,16203,None,4,a929d98c-2b49-4c91-ba99-4890044306a0,2014-09-12 11:15:07.263000
15859,3943,None,6,a7129cfd-1786-44f6-94ae-81da4eb6880f,2014-09-12 11:15:07.263000
15860,11044,None,1,ccb420e2-e0ce-45f5-ac6d-64374ad1f723,2014-09-12 11:15:07.263000
