salesorderid,creditcardid,cardtype
46564,14108,SuperiorCard
46565,11254,Vista
46566,8890,ColonialVoice
46567,1105,Distinguish
46568,8679,Distinguish
46569,3008,Vista
46570,14654,SuperiorCard
46571,2304,ColonialVoice
46572,3386,Vista
46573,558,ColonialVoice
46574,3411,SuperiorCard
46575,17693,Vista
46576,958,SuperiorCard
46577,9714,ColonialVoice
46578,18830,ColonialVoice
46579,16080,SuperiorCard
46580,12894,Distinguish
46581,10400,Vista
46582,1387,Distinguish
46583,6538,ColonialVoice
46584,17931,Vista
46585,5376,Vista
46586,358,SuperiorCard
46587,10476,SuperiorCard
46588,12468,SuperiorCard
46589,9850,Vista
46590,1121,Distinguish
46591,13773,ColonialVoice
46592,2003,Vista
46593,13520,Vista
46594,15256,Distinguish
46595,3867,Distinguish
46596,3934,ColonialVoice
46597,857,Vista
46598,19025,ColonialVoice
46599,851,Distinguish
46600,14799,SuperiorCard
46601,7467,Vista
46602,2402,ColonialVoice
46603,12392,SuperiorCard
46604,16281,ColonialVoice
46605,18656,ColonialVoice
46606,4322,Vista
46607,10456,ColonialVoice
46608,1346,Distinguish
46609,6646,Distinguish
46610,1862,ColonialVoice
46611,15232,Vista
46612,4052,ColonialVoice
46613,11441,SuperiorCard
46614,923,Distinguish
46615,5710,Vista
46616,1566,ColonialVoice
46617,18502,SuperiorCard
46618,11679,Vista
46619,13693,Vista
46620,1417,Vista
46621,15875,SuperiorCard
46622,3980,Vista
46623,12746,Distinguish
46624,16021,SuperiorCard
46625,12,SuperiorCard
46626,13779,Distinguish
46627,18717,SuperiorCard
46628,18868,Vista
46629,11886,Vista
46630,2571,Vista
46631,18153,ColonialVoice
46632,4260,Distinguish
46633,17774,Vista
46634,6653,Distinguish
46635,8784,ColonialVoice
46636,10709,Vista
46637,10163,Vista
46638,5093,Vista
46639,5439,SuperiorCard
46640,10,SuperiorCard
46641,3600,SuperiorCard
46642,14562,Vista
46643,3070,ColonialVoice
46644,5301,SuperiorCard
46645,6156,ColonialVoice
46646,17239,ColonialVoice
46647,13045,ColonialVoice
46648,5661,ColonialVoice
46649,10336,ColonialVoice
46650,2604,SuperiorCard
46651,14497,Distinguish
46652,8672,ColonialVoice
46653,11744,Vista
46654,4983,ColonialVoice
46655,1912,Distinguish
46656,8850,ColonialVoice
46657,14928,Distinguish
46658,11984,Vista
46659,12399,ColonialVoice
46660,13054,Vista
46661,19043,Distinguish
46662,17645,Distinguish
46663,242,SuperiorCard
46664,2337,Vista
46665,1324,SuperiorCard
46666,6340,SuperiorCard
46667,15784,Distinguish
46668,7176,Vista
46669,1906,ColonialVoice
46670,10422,ColonialVoice
46671,5868,SuperiorCard
46672,17902,Vista
46673,7083,SuperiorCard
46674,1402,Distinguish
46675,8217,ColonialVoice
46676,5537,Vista
46677,15133,Vista
46678,10995,Distinguish
46679,180,Distinguish
46680,10536,SuperiorCard
46681,9550,Distinguish
46682,2791,Distinguish
46683,1184,SuperiorCard
46684,11994,ColonialVoice
46685,18390,ColonialVoice
46686,7085,Vista
46687,15835,Vista
46688,15222,ColonialVoice
46689,3707,Distinguish
46690,15526,Distinguish
46691,15532,Vista
46692,4387,Vista
46693,1333,SuperiorCard
46694,1736,SuperiorCard
46695,12061,Distinguish
46696,7067,Distinguish
46698,9693,Vista
46699,2972,SuperiorCard
46701,14789,Distinguish
46702,12885,ColonialVoice
46703,11657,Vista
46705,1523,SuperiorCard
46706,6740,ColonialVoice
46707,8313,Vista
46708,18741,Vista
46709,2956,ColonialVoice
46710,3326,SuperiorCard
46711,4822,ColonialVoice
46712,16593,ColonialVoice
46713,7976,ColonialVoice
46714,10244,SuperiorCard
46715,9964,Distinguish
46716,4219,Vista
46717,1495,ColonialVoice
46718,6765,ColonialVoice
46719,19028,Distinguish
46720,1764,ColonialVoice
46721,16041,SuperiorCard
46722,7481,Distinguish
46723,13914,Distinguish
46724,18464,ColonialVoice
46725,9607,Distinguish
46726,5680,Distinguish
46727,8836,ColonialVoice
46728,555,SuperiorCard
46729,15906,Vista
46730,16463,Distinguish
46732,9986,ColonialVoice
46733,4372,SuperiorCard
46734,16598,Vista
46735,17890,Distinguish
46737,19093,Distinguish
46738,6721,ColonialVoice
46739,17565,SuperiorCard
46740,8608,Vista
46741,9089,Distinguish
46742,876,SuperiorCard
46743,15156,Vista
46744,17767,Distinguish
46747,333,Distinguish
46748,2255,Distinguish
46749,16911,ColonialVoice
46750,18750,SuperiorCard
46751,7323,Vista
46752,8947,Distinguish
46753,5031,Vista
46754,12339,SuperiorCard
46756,5792,ColonialVoice
46757,3372,Distinguish
46758,9080,Distinguish
46759,14252,SuperiorCard
46760,18505,ColonialVoice
46761,8884,ColonialVoice
46762,9309,Distinguish
46763,16683,Distinguish
46765,12902,Vista
46766,2978,SuperiorCard
46767,14132,Vista
46768,862,Vista
46769,15088,Distinguish
46770,1442,Vista
46771,8160,SuperiorCard
46772,18465,SuperiorCard
46773,18986,Vista
46774,623,Vista
46775,5747,Vista
46777,578,Vista
46778,10896,SuperiorCard
46779,16866,Distinguish
46780,16558,SuperiorCard
46782,18590,Distinguish
46783,5540,SuperiorCard
46784,8697,Vista
46785,17929,Vista
46786,12634,Vista
46787,8136,SuperiorCard
46788,8931,SuperiorCard
46789,8504,ColonialVoice
46790,1717,Distinguish
46791,18050,ColonialVoice
46792,4731,ColonialVoice
46793,16372,Distinguish
46794,18900,ColonialVoice
46795,6023,ColonialVoice
46796,9823,Vista
46797,1477,Vista
46798,17289,Vista
46799,8167,SuperiorCard
46800,14161,ColonialVoice
46801,16352,ColonialVoice
46802,15412,Distinguish
46803,60,Vista
46804,16739,Distinguish
46805,169,Distinguish
46806,2086,ColonialVoice
46807,266,ColonialVoice
46808,8445,SuperiorCard
46809,12964,Distinguish
46810,4285,ColonialVoice
46811,10741,Vista
46812,18144,SuperiorCard
46813,15769,Distinguish
46814,10038,Vista
46815,5494,Vista
46817,13419,Distinguish
46818,1190,ColonialVoice
46819,1464,ColonialVoice
46820,9640,ColonialVoice
46821,4534,SuperiorCard
46822,9430,Vista
46823,2977,Distinguish
46824,7349,Distinguish
46826,14180,Vista
46827,1580,SuperiorCard
46828,79,Vista
46829,15468,SuperiorCard
46830,2040,Distinguish
46831,2960,SuperiorCard
46832,4126,Distinguish
46833,14004,Vista
46834,10580,Vista
46835,6647,ColonialVoice
46836,7911,ColonialVoice
46837,15612,Vista
46839,12078,Vista
46840,14926,SuperiorCard
46841,5766,Vista
46842,11039,SuperiorCard
46843,3517,Vista
46844,16201,ColonialVoice
46845,13166,ColonialVoice
46846,13390,Vista
46847,10225,Vista
46848,1209,Distinguish
46849,5379,Distinguish
46850,10205,Distinguish
46851,3913,SuperiorCard
46852,4252,SuperiorCard
46853,7868,Vista
46854,4132,SuperiorCard
46855,398,SuperiorCard
46856,13385,Vista
46857,9796,ColonialVoice
46858,4100,SuperiorCard
46859,14130,SuperiorCard
46860,14953,Vista
46862,12515,ColonialVoice
46863,6000,SuperiorCard
46864,4414,ColonialVoice
46865,12601,Vista
46866,6567,Distinguish
46868,13090,Vista
46869,3805,Distinguish
46870,8488,Distinguish
46871,13795,Vista
46872,10811,Distinguish
46873,7937,ColonialVoice
46874,17636,Vista
46875,5441,ColonialVoice
46876,14970,Distinguish
46877,16147,ColonialVoice
46879,18670,Vista
46880,15895,ColonialVoice
46881,16919,Distinguish
46882,15585,SuperiorCard
46883,10630,SuperiorCard
46884,15407,Distinguish
46885,6218,SuperiorCard
46886,5203,Distinguish
46887,1219,SuperiorCard
46888,15919,ColonialVoice
46889,3385,ColonialVoice
46890,5276,Distinguish
46891,383,Vista
46892,1659,SuperiorCard
46893,14406,Distinguish
46894,3414,Distinguish
46895,7494,Distinguish
46896,9844,Vista
46897,3625,Distinguish
46898,6050,SuperiorCard
46899,14840,Distinguish
46900,3879,Vista
46901,5142,Vista
46902,11076,SuperiorCard
46903,1623,Distinguish
46904,5501,ColonialVoice
46905,16171,Distinguish
46906,10410,SuperiorCard
46907,14344,Distinguish
46908,5349,Distinguish
46909,7281,Vista
46910,5145,Distinguish
46911,6001,Distinguish
46912,5007,ColonialVoice
46913,1723,Distinguish
46914,18517,SuperiorCard
46915,9118,Distinguish
46916,3602,Vista
46917,8095,SuperiorCard
46918,3136,Distinguish
46919,5706,Distinguish
46920,3371,ColonialVoice
46921,689,ColonialVoice
46922,15722,SuperiorCard
46923,10140,ColonialVoice
46924,18910,SuperiorCard
46925,5394,SuperiorCard
46926,17223,ColonialVoice
46927,101,ColonialVoice
46928,10435,Vista
46929,3088,SuperiorCard
46930,10662,ColonialVoice
46931,13712,Distinguish
46932,5577,SuperiorCard
46933,2364,SuperiorCard
46934,1163,SuperiorCard
46935,18911,ColonialVoice
46936,181,ColonialVoice
46937,12671,Distinguish
46938,8292,Distinguish
46939,2436,ColonialVoice
46940,3815,Vista
46941,12198,Distinguish
46942,18037,SuperiorCard
46943,4459,Vista
46944,14559,SuperiorCard
46945,11072,ColonialVoice
46946,8043,SuperiorCard
46947,6183,Distinguish
46948,8979,ColonialVoice
46949,9855,Vista
46950,12554,Vista
46951,14454,Distinguish
46952,9959,SuperiorCard
46953,15954,ColonialVoice
46954,10526,Distinguish
46955,18049,SuperiorCard
46956,1684,Distinguish
46957,15977,Vista
46958,6981,Vista
46959,18260,ColonialVoice
46960,11840,SuperiorCard
46961,3274,Vista
46962,6777,Vista
46963,11717,SuperiorCard
46964,4623,SuperiorCard
46965,15487,Distinguish
46966,5570,Distinguish
46967,2658,Distinguish
46968,3827,SuperiorCard
46969,14975,ColonialVoice
46970,3059,Vista
46971,17315,SuperiorCard
46972,6386,Vista
46973,14363,SuperiorCard
46974,18364,SuperiorCard
46975,10628,Vista
46976,10004,Vista
46977,18323,ColonialVoice
46978,2780,ColonialVoice
46979,3453,Distinguish
46980,4941,ColonialVoice
46981,336,SuperiorCard
46982,5589,Vista
46983,2082,ColonialVoice
46984,15555,Distinguish
46985,19174,Vista
46986,13923,SuperiorCard
46987,18231,Vista
46988,15090,SuperiorCard
46989,13917,SuperiorCard
46990,5343,Vista
46991,3904,SuperiorCard
46992,13064,Distinguish
46993,10395,Vista
46994,15155,SuperiorCard
46995,7667,Vista
46996,18154,Distinguish
46997,18316,ColonialVoice
46998,14963,SuperiorCard
46999,15076,Distinguish
47000,11282,SuperiorCard
47001,6126,ColonialVoice
47002,13246,SuperiorCard
47003,1699,Distinguish
47004,18354,SuperiorCard
47005,6083,ColonialVoice
47006,15927,ColonialVoice
47007,5279,ColonialVoice
47008,3318,ColonialVoice
47009,17923,Vista
47010,15443,ColonialVoice
47011,5690,ColonialVoice
47012,10064,ColonialVoice
47013,11745,Vista
47014,14184,Distinguish
47015,12189,Distinguish
47016,14803,Vista
47017,13667,Vista
47018,13468,SuperiorCard
47019,451,SuperiorCard
47020,8522,Distinguish
47021,553,Vista
47022,15648,Distinguish
47023,5751,Vista
47024,6940,SuperiorCard
47025,18295,Distinguish
47026,10191,SuperiorCard
47027,17277,Vista
47028,17861,Distinguish
47029,8991,ColonialVoice
47030,1308,Vista
47031,14606,ColonialVoice
47032,18386,ColonialVoice
47033,9635,Distinguish
47034,9772,ColonialVoice
47035,11652,Distinguish
47036,15319,Vista
47037,6452,SuperiorCard
47038,16439,Vista
47039,9973,Distinguish
47040,8663,SuperiorCard
47041,2504,Vista
47042,13160,SuperiorCard
47043,15842,SuperiorCard
47044,13420,ColonialVoice
47045,15321,ColonialVoice
47046,10234,SuperiorCard
47047,15771,ColonialVoice
47048,13104,Distinguish
47049,16976,Distinguish
47050,161,Vista
47051,11815,SuperiorCard
47052,17621,Distinguish
47053,8103,Distinguish
47054,10270,SuperiorCard
47055,7380,ColonialVoice
47056,12177,Vista
47057,1660,Vista
47058,2759,Distinguish
47059,2687,ColonialVoice
47060,18675,SuperiorCard
47061,17263,ColonialVoice
47062,3157,Distinguish
47063,6264,Vista
47064,6881,Distinguish
47065,5754,Vista
47066,2470,ColonialVoice
47067,14371,Vista
47068,3673,SuperiorCard
47069,4782,Vista
47070,14900,ColonialVoice
47071,13062,Vista
47072,8418,Distinguish
47073,15102,Vista
47074,12966,Vista
47075,16042,Vista
47076,17589,SuperiorCard
47077,2220,Vista
47078,13290,SuperiorCard
47079,6946,Distinguish
47080,5619,ColonialVoice
47081,16205,Distinguish
47082,13170,Distinguish
47083,16747,ColonialVoice
47084,18207,Vista
47085,5407,Vista
47086,11069,SuperiorCard
47087,5047,Vista
47088,6714,Distinguish
47089,11708,SuperiorCard
47090,17746,Distinguish
47091,10612,Distinguish
47092,7975,SuperiorCard
47093,11081,SuperiorCard
47094,17344,SuperiorCard
47095,13373,Vista
47096,1599,Distinguish
47097,12688,SuperiorCard
47098,10351,SuperiorCard
47099,7671,Distinguish
47101,4204,Distinguish
47102,1990,SuperiorCard
47103,318,SuperiorCard
47104,8824,SuperiorCard
47105,8771,SuperiorCard
47106,2682,ColonialVoice
47107,15516,ColonialVoice
47108,16520,ColonialVoice
47109,8658,Distinguish
47110,1312,Distinguish
47111,7204,ColonialVoice
47112,13237,Vista
47113,5518,ColonialVoice
47114,8804,Vista
47115,17895,Vista
47116,18270,Vista
47117,7977,SuperiorCard
47118,11673,Vista
47119,8220,Distinguish
47120,2441,ColonialVoice
47121,6544,ColonialVoice
47122,8556,Vista
47123,9701,SuperiorCard
47124,9932,Vista
47125,4326,Vista
47126,17441,SuperiorCard
47127,18199,Distinguish
47128,9374,Vista
47129,618,Vista
47130,8764,SuperiorCard
47131,7102,ColonialVoice
47132,10231,Distinguish
47133,15488,SuperiorCard
47134,17928,ColonialVoice
47135,3560,Vista
47136,5227,ColonialVoice
47137,14918,SuperiorCard
47138,4520,ColonialVoice
47139,4122,Distinguish
47140,17634,SuperiorCard
47141,15140,SuperiorCard
47142,5973,Vista
47143,8687,Vista
47144,3495,Distinguish
47145,13091,SuperiorCard
47146,4838,Distinguish
47148,16543,SuperiorCard
47149,2236,Vista
47150,6847,Vista
47151,3242,SuperiorCard
47153,13724,Vista
47154,12741,ColonialVoice
47155,10631,Vista
47156,1447,SuperiorCard
47157,5820,SuperiorCard
47158,3881,ColonialVoice
47159,6020,Vista
47160,1643,SuperiorCard
47161,17638,Vista
47162,17727,Vista
47163,17981,Distinguish
47164,10401,SuperiorCard
47165,16493,SuperiorCard
47166,12479,Vista
47167,8268,ColonialVoice
47168,14621,SuperiorCard
47169,8587,Vista
47170,18308,SuperiorCard
47171,528,Distinguish
47172,14399,ColonialVoice
47173,1042,Vista
47174,11765,ColonialVoice
47175,12626,Distinguish
47176,616,ColonialVoice
47177,7553,Distinguish
47179,12447,Vista
47180,15200,Distinguish
47181,6936,Vista
47182,3574,SuperiorCard
47183,5929,Vista
47184,1020,Vista
47185,3610,SuperiorCard
47186,12768,SuperiorCard
47187,3650,Distinguish
47188,10092,SuperiorCard
47190,7190,Distinguish
47191,16813,ColonialVoice
47192,4444,Vista
47193,5226,Vista
47194,6943,Vista
47195,14935,Vista
47196,377,Vista
47197,18109,ColonialVoice
47198,14696,Distinguish
47199,13271,Distinguish
47200,11149,SuperiorCard
47201,4904,SuperiorCard
47202,7473,SuperiorCard
47203,16750,ColonialVoice
47204,9052,SuperiorCard
47205,15894,Distinguish
47206,18098,Distinguish
47207,9058,Distinguish
47208,15170,SuperiorCard
47209,18061,ColonialVoice
47210,12204,Vista
47211,3130,ColonialVoice
47212,14245,SuperiorCard
47213,12978,ColonialVoice
47214,5267,ColonialVoice
47215,8495,ColonialVoice
47216,1808,ColonialVoice
47217,9413,Distinguish
47218,9011,Distinguish
47219,11946,ColonialVoice
47220,2229,ColonialVoice
47221,12291,Vista
47222,18698,Vista
47223,10537,ColonialVoice
47224,15696,ColonialVoice
47225,18974,ColonialVoice
47226,13947,Distinguish
47227,4108,Distinguish
47228,6342,ColonialVoice
47229,4656,Distinguish
47230,10417,SuperiorCard
47231,9553,Vista
47232,7535,ColonialVoice
47233,14740,Distinguish
47234,2431,SuperiorCard
47236,17953,ColonialVoice
47237,11880,Vista
47238,10420,ColonialVoice
47239,14533,Distinguish
47240,10711,Vista
47241,15824,SuperiorCard
47242,8345,SuperiorCard
47243,12513,Vista
47244,10851,SuperiorCard
47245,2035,ColonialVoice
47246,14863,ColonialVoice
47247,655,Vista
47248,12455,Vista
47249,3207,Vista
47250,10228,ColonialVoice
47251,10604,ColonialVoice
47252,13012,Distinguish
47253,175,ColonialVoice
47254,13970,Distinguish
47255,865,ColonialVoice
47256,113,Vista
47257,10677,ColonialVoice
47258,15874,Distinguish
47259,3468,SuperiorCard
47260,17711,Vista
47262,11492,SuperiorCard
47263,5672,Distinguish
47264,2089,Distinguish
47265,17404,Distinguish
47266,18535,ColonialVoice
47267,7618,Vista
47268,12056,SuperiorCard
47270,6499,Distinguish
47271,14088,ColonialVoice
47272,3956,Distinguish
47273,2034,SuperiorCard
47274,16589,ColonialVoice
47275,18212,Vista
47276,1150,Distinguish
47277,6542,Distinguish
47278,14431,ColonialVoice
47282,7122,ColonialVoice
47283,18789,Distinguish
47284,10094,Distinguish
47285,11501,Vista
47286,2298,ColonialVoice
47287,11639,Vista
47288,12709,Distinguish
47289,15613,SuperiorCard
47290,17677,Vista
47291,16607,ColonialVoice
47292,10055,Vista
47293,13015,Vista
47295,7410,Distinguish
47296,17499,Distinguish
47297,16510,Distinguish
47298,1734,ColonialVoice
47299,5302,Distinguish
47300,3408,SuperiorCard
47301,18892,ColonialVoice
47302,19041,Vista
47303,3255,Distinguish
47304,15037,Distinguish
47305,9682,ColonialVoice
47306,11494,ColonialVoice
47307,16922,Distinguish
47308,589,ColonialVoice
47309,13849,ColonialVoice
47310,15300,ColonialVoice
47311,2870,Distinguish
47312,3010,ColonialVoice
47313,1918,Vista
47314,4282,ColonialVoice
47315,10113,ColonialVoice
47316,12092,Distinguish
47317,2986,Distinguish
47318,9856,Vista
47319,6254,ColonialVoice
47320,5553,ColonialVoice
47321,16855,SuperiorCard
47322,6694,SuperiorCard
47323,2138,Distinguish
47324,4275,ColonialVoice
47325,610,Vista
47326,18523,Distinguish
47327,13106,Vista
47328,6667,SuperiorCard
47329,13592,Distinguish
47330,11808,Vista
47331,15474,ColonialVoice
47332,19141,ColonialVoice
47333,19152,SuperiorCard
47334,4431,Vista
47335,4334,SuperiorCard
47336,12862,ColonialVoice
47337,10716,SuperiorCard
47338,757,Vista
47339,17695,Distinguish
47340,14273,SuperiorCard
47341,15233,ColonialVoice
47342,11456,ColonialVoice
47343,14114,ColonialVoice
47344,13591,SuperiorCard
47345,5012,Vista
47346,16074,Vista
47347,9629,Vista
47348,5622,SuperiorCard
47349,11685,Vista
47350,16754,SuperiorCard
47351,17368,SuperiorCard
47352,12857,Vista
47353,11645,ColonialVoice
47354,6065,ColonialVoice
47355,371,Vista
47356,13784,SuperiorCard
47357,6546,ColonialVoice
47358,15138,Vista
47359,5110,Vista
47360,11080,SuperiorCard
47361,7454,Vista
47362,8552,Vista
47363,3787,Distinguish
47364,4173,SuperiorCard
47365,12698,ColonialVoice
47366,4357,ColonialVoice
47367,14468,ColonialVoice
47368,10783,Vista
47369,14895,Distinguish
47370,17935,ColonialVoice
47371,14133,SuperiorCard
47372,14542,Distinguish
47373,11056,Vista
47374,14140,Vista
47375,1553,ColonialVoice
47376,11814,ColonialVoice
47377,13971,ColonialVoice
47378,16569,ColonialVoice
47379,6442,ColonialVoice
47380,5958,Vista
47381,4851,Distinguish
47382,10915,Distinguish
47383,14153,SuperiorCard
47384,19154,Distinguish
47385,16978,ColonialVoice
47386,11215,SuperiorCard
47387,7392,ColonialVoice
47388,6468,ColonialVoice
47389,9102,Distinguish
47390,13480,ColonialVoice
47391,4304,ColonialVoice
47392,19078,SuperiorCard
47393,3465,ColonialVoice
47394,5215,Vista
47395,17544,SuperiorCard
47396,5089,SuperiorCard
47397,319,SuperiorCard
47398,3653,SuperiorCard
47399,18097,Distinguish
47400,10100,SuperiorCard
47401,18495,Vista
47402,12550,ColonialVoice
47403,14489,ColonialVoice
47404,7160,ColonialVoice
47405,4443,ColonialVoice
47406,4432,Vista
47407,6272,ColonialVoice
47408,8394,SuperiorCard
47409,15369,ColonialVoice
47410,9617,Distinguish
47411,782,SuperiorCard
47412,18813,Vista
47413,778,SuperiorCard
47414,12808,SuperiorCard
47415,10899,Vista
47416,7597,SuperiorCard
47417,12933,ColonialVoice
47418,18591,Vista
47419,15282,Vista
47420,1803,SuperiorCard
47421,7146,SuperiorCard
47422,15483,ColonialVoice
47423,3490,Distinguish
47424,17669,Vista
47425,16704,SuperiorCard
47426,18707,Distinguish
47427,18418,ColonialVoice
47428,17036,SuperiorCard
47429,17073,Distinguish
47430,4524,Vista
47431,9458,Vista
47432,12135,ColonialVoice
47433,3498,ColonialVoice
47434,10623,ColonialVoice
47435,18496,Distinguish
47436,17324,ColonialVoice
47437,5609,Distinguish
47438,5668,ColonialVoice
47439,5164,Vista
47440,2270,Vista
47441,7293,ColonialVoice
47442,16654,ColonialVoice
47443,7845,SuperiorCard
47444,626,Distinguish
47445,16132,ColonialVoice
47446,12030,ColonialVoice
47447,10057,ColonialVoice
47448,9010,ColonialVoice
47449,1866,SuperiorCard
47450,3788,Vista
47451,1651,SuperiorCard
47452,5102,Distinguish
47453,8010,Vista
47455,18875,Distinguish
47456,9506,SuperiorCard
47457,15829,Vista
47458,10146,Vista
47459,2741,Distinguish
47460,15395,ColonialVoice
47461,9485,ColonialVoice
47462,13136,SuperiorCard
47463,10990,Distinguish
47464,6948,ColonialVoice
47465,14426,Distinguish
47466,270,SuperiorCard
47467,18398,Vista
47468,4677,SuperiorCard
47469,1947,Vista
47470,18852,Distinguish
47471,5997,SuperiorCard
47473,2878,Vista
47474,7579,ColonialVoice
47475,7916,Vista
47476,1193,SuperiorCard
47477,8711,SuperiorCard
47478,19024,Vista
47479,3120,ColonialVoice
47480,9305,ColonialVoice
47481,17714,Vista
47482,4818,ColonialVoice
47483,217,SuperiorCard
47484,7641,SuperiorCard
47485,18449,ColonialVoice
47486,5044,SuperiorCard
47487,3657,Vista
47488,35,SuperiorCard
47489,367,ColonialVoice
47490,2068,SuperiorCard
47491,8451,ColonialVoice
47493,18874,Distinguish
47494,149,ColonialVoice
47495,8225,Vista
47496,4301,Vista
47497,14746,Distinguish
47498,12772,Distinguish
47499,9755,SuperiorCard
47500,11202,SuperiorCard
47501,10712,Vista
47502,7756,Vista
47503,12475,ColonialVoice
47504,1621,Vista
47505,11116,Distinguish
47506,17416,Distinguish
47507,263,SuperiorCard
47508,3669,ColonialVoice
47509,4738,SuperiorCard
47510,1593,SuperiorCard
47511,1867,Vista
47512,14763,Distinguish
47513,2715,SuperiorCard
47514,16415,Distinguish
47515,4837,SuperiorCard
47516,8179,Vista
47517,2261,ColonialVoice
47518,17618,ColonialVoice
47519,18048,Vista
47520,16860,Vista
47521,1841,SuperiorCard
47523,10728,Vista
47524,4726,SuperiorCard
47525,1458,ColonialVoice
47526,17759,Vista
47527,14464,Vista
47528,16265,Vista
47529,5074,Vista
47530,14383,ColonialVoice
47531,575,ColonialVoice
47532,13689,Distinguish
47533,15003,SuperiorCard
47534,6117,SuperiorCard
47535,5216,SuperiorCard
47536,13395,SuperiorCard
47537,7692,ColonialVoice
47538,17440,Distinguish
47540,1401,SuperiorCard
47541,8889,Distinguish
47542,7257,SuperiorCard
47543,17771,Vista
47544,15206,Vista
47545,10525,Distinguish
47546,481,SuperiorCard
47547,16688,Vista
47548,4548,Distinguish
47549,679,Distinguish
47550,13135,SuperiorCard
47551,15308,Vista
47552,15640,Vista
47553,11307,Vista
47554,4473,Distinguish
47555,17233,SuperiorCard
47556,739,Distinguish
47557,8874,ColonialVoice
47558,18219,Vista
47560,7436,Vista
47561,205,Distinguish
47562,1283,SuperiorCard
47563,16769,Distinguish
47564,12267,Distinguish
47566,9751,ColonialVoice
47567,4968,Distinguish
47568,3909,Distinguish
47569,17472,Distinguish
47571,2387,ColonialVoice
47572,11476,SuperiorCard
47573,7970,ColonialVoice
47574,17750,Distinguish
47575,8044,ColonialVoice
47576,10921,SuperiorCard
47577,3674,Distinguish
47578,1176,Distinguish
47579,8120,ColonialVoice
47580,2335,ColonialVoice
47581,17813,ColonialVoice
47582,10610,Distinguish
47583,9792,ColonialVoice
47584,1410,SuperiorCard
47585,3154,SuperiorCard
47586,19121,Vista
47587,14639,SuperiorCard
47588,17189,SuperiorCard
47589,16854,SuperiorCard
47590,13275,Distinguish
47591,5390,Distinguish
47593,16848,ColonialVoice
47594,11877,SuperiorCard
47595,9741,Distinguish
47596,839,ColonialVoice
47597,15797,Vista
47598,17830,Vista
47599,6294,Distinguish
47600,7069,SuperiorCard
47602,4614,ColonialVoice
47603,7507,ColonialVoice
47604,15908,ColonialVoice
47605,13747,ColonialVoice
47606,5375,SuperiorCard
47607,10115,SuperiorCard
47608,12969,Distinguish
47609,6726,SuperiorCard
47610,8506,ColonialVoice
47611,924,ColonialVoice
47612,17864,Vista
47613,8157,ColonialVoice
47614,13974,SuperiorCard
47615,18806,Vista
47616,7223,Distinguish
47617,3489,Vista
47618,5659,ColonialVoice
47619,6282,ColonialVoice
47620,11055,SuperiorCard
47621,172,SuperiorCard
47622,14176,Vista
47623,5085,ColonialVoice
47624,3616,ColonialVoice
47625,4288,ColonialVoice
47626,15046,SuperiorCard
47627,812,Vista
47628,5610,ColonialVoice
47629,14765,ColonialVoice
47630,5291,ColonialVoice
47631,5964,ColonialVoice
47632,14255,Distinguish
47633,2046,Distinguish
47635,6547,ColonialVoice
47636,16616,Vista
47637,12516,ColonialVoice
47638,4958,SuperiorCard
47639,10050,Vista
47640,17961,Vista
47641,11188,SuperiorCard
47642,5650,Vista
47643,14781,ColonialVoice
47644,7778,SuperiorCard
47645,1949,ColonialVoice
47646,195,Distinguish
47647,7714,ColonialVoice
47648,18188,Distinguish
47649,16667,SuperiorCard
47650,4808,Distinguish
47651,18829,SuperiorCard
47652,13154,ColonialVoice
47653,13776,SuperiorCard
47655,6618,Vista
47656,12302,Vista
47657,12460,Distinguish
47658,14562,Vista
47659,18656,ColonialVoice
47660,5618,Vista
47661,4322,Vista
47662,1346,Distinguish
47663,10456,ColonialVoice
47664,1862,ColonialVoice
47665,4052,ColonialVoice
47666,15232,Vista
47667,11441,SuperiorCard
47668,923,Distinguish
47669,5710,Vista
47670,1566,ColonialVoice
47671,11679,Vista
47672,13693,Vista
47673,3980,Vista
47674,15875,SuperiorCard
47675,1417,Vista
47676,16021,SuperiorCard
47677,12,SuperiorCard
47678,18717,SuperiorCard
47679,12746,Distinguish
47680,13779,Distinguish
47681,2571,Vista
47682,18868,Vista
47683,11886,Vista
47684,18153,ColonialVoice
47685,17774,Vista
47686,14030,SuperiorCard
47687,5093,Vista
47688,5409,SuperiorCard
47689,6653,Distinguish
47690,5439,SuperiorCard
47691,8784,ColonialVoice
47692,8217,ColonialVoice
47693,16281,ColonialVoice
47694,3070,ColonialVoice
47695,17239,ColonialVoice
47696,6156,ColonialVoice
47697,13699,SuperiorCard
47698,13045,ColonialVoice
47699,2604,SuperiorCard
47700,5661,ColonialVoice
47701,10336,ColonialVoice
47702,14497,Distinguish
47703,4983,ColonialVoice
47704,11744,Vista
47705,8672,ColonialVoice
47706,1912,Distinguish
47707,8850,ColonialVoice
47708,14928,Distinguish
47709,11984,Vista
47710,3235,Distinguish
47711,19043,Distinguish
47712,13054,Vista
47713,12399,ColonialVoice
47714,2337,Vista
47715,242,SuperiorCard
47716,17645,Distinguish
47717,1324,SuperiorCard
47718,6340,SuperiorCard
47719,15784,Distinguish
47720,7176,Vista
47721,1906,ColonialVoice
47722,10520,ColonialVoice
47723,10422,ColonialVoice
47724,5868,SuperiorCard
47725,17902,Vista
47726,7083,SuperiorCard
47727,10709,Vista
